관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
대전역관광안내소,대전역,대전광역시,동구,"""대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공""",핸드폰충전,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,,042-221-1905,대전광역시 동구 중앙로 215,대전광역시 동구 정동 1-280,대전광역시관광협회,,36.332491,127.433926,2018-02-19,6300000,대전광역시
대전종합관광안내소,온천역 사거리,대전광역시,유성구,"""대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공, 검색서비스 제공""",핸드폰충전+지역공예품전시+관광객 짐보관(사물함비치)+검색서비스제공,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,,042-861-1330,대전광역시 유성구 대학로 7,대전광역시 유성구 봉명동 552-3,대전광역시관광협회,,36.354663,127.341401,2018-02-19,6300000,대전광역시
서대전역관광안내소,서대전역,대전광역시,중구,"""대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공""",핸드폰충전,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,,042-523-1338,대전광역시 중구 오류로 23,대전광역시 중구 오류동 74,대전광역시관광협회,,36.323249,127.403361,2018-02-19,6300000,대전광역시
복합터미널관광안내소,복합터미널,대전광역시,동구,"""대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공""",핸드폰충전,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,,042-633-1355,대전광역시 동구 동서대로 1695번길 30,대전광역시 동구 용전동 68-2,대전광역시관광협회,,36.351672,127.437476,2018-02-19,6300000,대전광역시
오월드관광안내소,오월드,대전광역시,중구,"""대전지역 관광지, 관광시설 등 관광자원 소개 및 교통편 등 관광관련 정보 제공""",핸드폰충전,연중무휴,9:00,18:00,9:00,18:00,1,Y,Y,Y,,042-586-1330,대전광역시 중구 사정공원로 70,대전광역시 중구 사정동 100,대전광역시관광협회,,36.288827,127.397831,2018-02-19,6300000,대전광역시
속동관광안내소,속동전망대 옆,충청남도,홍성군,속동전망대 일원 관광안내 정보를 제공합니다.,자전거 대여,"""매주 월요일, 추석 및 설명절""",10:00,17:00,10:00,16:00,1,N,N,N,,041-631-1041,충청남도 홍성군 서부면 남당항로 689,충청남도 홍성군 서부면 상황리 627-10,충청남도 홍성군청,http://tour.hongseong.go.kr/,36.5767821,126.4644756,2018-08-27,4600000,충청남도 홍성군
남해관광안내소,남해유배문학관 앞,경상남도,남해군,남해군의 중심인 남해읍에 위치한 관광안내소,문화관광해설,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,055-864-4025,경상남도 남해군 남해읍 남해대로 2745,경상남도 남해군 남해읍 남변리 555,경상남도 남해군,http://tour.namhae.go.kr/00003006/00003009/00003030.web,34.83195858,127.8991851,2019-06-24,5430000,경상남도 남해군
창선관광안내소,창선대교타운 내,경상남도,남해군,창선-삼천포대교에 위치한 남해군의 관광안내 관문,문화관광해설,월~금요일,10:00,17:00,10:00,17:00,1,N,N,N,,055-867-5238,경상남도 남해군 창선면 동부대로2964번길 49-10,경상남도 남해군 창선면 대벽리 6-21,경상남도 남해군,http://tour.namhae.go.kr/00003006/00003009/00003030.web,34.91738204,128.0304794,2019-06-24,5430000,경상남도 남해군
이락사관광안내소,이순신 순국공원 내,경상남도,남해군,남해대교를 통해 남해군으로 들어오는 관광객들이 만날 수 있는 첫 관광안내소로 남해군의 대표 관광안내소,문화관광해설,연중무휴,10:00,17:00,10:00,17:00,2,N,N,N,,055-863-4025,경상남도 남해군 고현면 남해대로 3829,경상남도 남해군 고현면 차면리 107,경상남도 남해군,http://tour.namhae.go.kr/00003006/00003009/00003030.web,34.9133657,127.8572682,2019-06-24,5430000,경상남도 남해군
가천관광안내소,가천다랭이마을 입구,경상남도,남해군,남해군의 대표 관광지인 가천다랭이마을에 위치한 관광안내소,문화관광해설,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,055-863-3893,경상남도 남해군 남면 남면로 702,경상남도 남해군 남면 홍현리 840-2,경상남도 남해군,http://tour.namhae.go.kr/00003006/00003009/00003030.web,34.7280694,127.8915049,2019-06-24,5430000,경상남도 남해군
독일마을관광안내소,독일마을 주차장 맞은편,경상남도,남해군,남해군의 최고 핫스팟이라 할 수 있는 독일마을에 위치한 관광안내소,문화관광해설,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,055-867-8897,경상남도 남해군 삼동면 독일로 92,경상남도 남해군 삼동면 봉화리 2571,경상남도 남해군,http://tour.namhae.go.kr/00003006/00003009/00003030.web,34.80085956,128.0384333,2019-06-24,5430000,경상남도 남해군
창선다목적광장 관광안내소,창선다목적광장 (동대만휴게소),경상남도,남해군,연륙교에서 남해군으로 들어오는 관문,문화관광해설,월~금요일,10:00,17:00,10:00,17:00,1,N,N,N,,055-860-8607,경상남도 남해군 창선면 동대리 482-8,경상남도 남해군 창선면 동대리 482-8,경상남도 남해군,http://tour.namhae.go.kr/00003006/00003009/00003030.web,34.87203987,128.0095098,2019-06-24,5430000,경상남도 남해군
경주역관광안내소,경주역 광장내,경상북도,경주시,경주의 관광정보가 필요한 여행객을 위해 관광안내 서비스를 실시,,연중무휴,9:00,18:00,9:00,18:00,3,Y,Y,Y,,054-772-3843,경상북도 경주시 원화로 260,경상북도 경주시 황오동 173-1,경상북도 경주시청,http://www.gogbta.or.kr/dowomi,35.84362341,129.2174888,2019-09-21,5050000,경상북도 경주시
터미널관광안내소,시외버스 터미널 옆 광장,경상북도,경주시,경주의 관광정보가 필요한 여행객을 위해 관광안내 서비스를 실시,,연중무휴,9:00,18:00,9:00,18:00,3,Y,Y,Y,,054-772-9289,,경상북도 경주시 노서동 243-12,경상북도 경주시청,http://www.gogbta.or.kr/dowomi,35.838772,129.203053,2019-09-21,5050000,경상북도 경주시
불국사관광안내소,불국사 주차장,경상북도,경주시,경주의 관광정보가 필요한 여행객을 위해 관광안내 서비스를 실시,,연중무휴,9:00,18:00,9:00,17:30,3,Y,Y,Y,,054-746-4747,경상북도 경주시 진현로2길 61-3,경상북도 경주시 진현동 64-1,경상북도 경주시청,http://www.gogbta.or.kr/dowomi,35.78656339,129.3272119,2019-09-21,5050000,경상북도 경주시
서라벌관광안내정보센터,서라벌 광장 휴게소 내,경상북도,경주시,경주의 관광정보가 필요한 여행객을 위해 관광안내 서비스를 실시,,연중무휴,9:00,18:00,9:00,18:00,3,Y,N,Y,,054-777-1330,경상북도 경주시 서라벌대로 417,경상북도 경주시 율동 598,경상북도 경주시청,http://www.gogbta.or.kr/dowomi,35.812051,129.196792,2019-09-21,5050000,경상북도 경주시
신경주역관광안내소,신경주역 맞이방내,경상북도,경주시,경주의 관광정보가 필요한 여행객을 위해 관광안내 서비스를 실시,,연중무휴,9:00,20:00,9:00,20:00,3,Y,Y,N,,054-771-1336,경상북도 경주시 건천읍 신경주역로 80,경상북도 경주시 건천읍 화천리 1010,경상북도 경주시청,http://www.gogbta.or.kr/dowomi,35.79808003,129.1393974,2019-09-21,5050000,경상북도 경주시
관광안내소,속리산면,충청북도,보은군,속리산을 찾는 내/외국인의 관광안내 및 홍보,,법정공휴일,9:00,18:00,9:00,18:00,,Y,N,N,영어,043-542-3006,충청북도 보은군 속리산면 법주사로 223,충청북도 보은군 속리산면 사내리 348-4,보은군 문화관광과,,36.52861169,127.8196293,2019-05-30,4420000,충청북도 보은군
논산종합관광안내소,논산역,충청남도,논산시청,"논산시 관광, 문화재 등 종합관광안내",,"설, 추석명절",10:00,17:00,10:00,16:00,1,N,Y,Y,,041-732-6410,충청남도 논산시 해월로 236-12,충청남도 논산시 반월동 33-17,충청남도 논산시청,http://www.nonsan.go.kr,36.2070665,127.0834301,2019-06-25,4540000,충청남도 논산시
경포관광안내소,경포관광안내소,강원도,강릉시,강릉시 관광안내소,"휠체어대여,핸드폰충전,인터넷사용","설명절당일, 추석명절당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,033-640-4414,강원도 강릉시 안현동 산2-11,강원도 강릉시 안현동 산2-11,강릉시,www.gn.go.kr/tour,37.804849,128.904172,2019-07-09,4200000,강원도 강릉시
터미널관광안내소,터미널관광안내소,강원도,강릉시,강릉시 관광안내소,"휠체어대여,핸드폰충전,인터넷사용",연중무휴,9:00,20:00,9:00,20:00,2,Y,Y,Y,,033-640-4537,강원도 강릉시 하슬라로 15,강원도 강릉시 하슬라로 15,강릉시,www.gn.go.kr/tour,37.754408,128.8796079,2019-07-09,4200000,강원도 강릉시
강릉역관광안내소,강릉역관광안내소,강원도,강릉시,강릉시 관광안내소,"휠체어대여,핸드폰충전,인터넷사용","설명절당일, 추석명절당일",9:00,18:00,9:00,18:00,2,Y,Y,Y,,033-640-4538,강원도 강릉시 용지로176,강원도 강릉시 용지로176,강릉시,www.gn.go.kr/tour,37.76385959,128.8999101,2019-07-09,4200000,강원도 강릉시
모래시계관광안내소,모래시계관광안내소,강원도,강릉시,강릉시 관광안내소,"휠체어대여,핸드폰충전,인터넷사용","설명절당일, 추석명절당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,033-640-4536,강원도 강릉시 헌화로 990,강원도 강릉시 헌화로 990,강릉시,www.gn.go.kr/tour,37.68725359,129.0376629,2019-07-09,4200000,강원도 강릉시
주문진관광안내소,주문진관광안내소,강원도,강릉시,강릉시 관광안내소,"휠체어대여,핸드폰충전,인터넷사용","설명절당일, 추석명절당일",9:00,18:00,9:00,18:00,1,Y,Y,Y,,033-640-4535,강원도 강릉시 주문진읍 주문리 312-684,강원도 강릉시 주문진읍 주문리 312-684,강릉시,www.gn.go.kr/tour,37.89058775,128.828778,2019-07-09,4200000,강원도 강릉시
월화거리관광안내소,월화거리관광안내소,강원도,강릉시,강릉시 관광안내소,"핸드폰충전,인터네사용","설명절당일, 추석명절당일",9:00,18:00,9:00,18:00,2,Y,Y,Y,,033-640-4565,강원도 강릉시 성남동 41-12,강원도 강릉시 성남동 41-12,강릉시,www.gn.go.kr/tour,37.754341,128.897165,2019-07-09,4200000,강원도 강릉시
홍천군관광안내소,홍천군 홍천읍 홍천로 301(시외버스터미널 내),강원도,홍천군,"""관광지, 교통, 숙박, 음식(업소), 쇼핑, 축제 및 행사, 문화 공연 등에 대한 정보 제공""","""인터넷 검색, 핸드폰 충전""",추석 설 휴무,9:00,18:00,9:00,18:00,2,N,N,N,,033-433-1259,강원도 홍천군 홍천읍 홍천로 301,강원도 홍천군 홍천읍 희망리 393,강원도 홍천군청,http://www.great.go.kr,37.6889027,127.8786251,2018-08-29,4250000,강원도 홍천군
문화해설사의집(충익사),경남 의령군 의령읍 충익로 1,경상남도,의령군,의령의 제1경 충익사에 위치하고 있으며 충익사에 대한 문화관광해설사의 해설을 청취할 수 있음.,×,매주 월요일,10:00,17:00,10:00,17:00,1,N,N,N,N,055-570-2513,경상남도 의령군 의령읍 충익로 1,경상남도 의령군 의령읍 중동리 467-2,의령군청(관광진흥담당),×,35.315855,128.262002,2019-07-05,5390000,경상남도 의령군
문화해설사의집(의병박물관),경남 의령군 의령읍 충익로 1-25,경상남도,의령군,의병박물관에 대한 문화관광해설사의 해설을 청취할 수 있음.,×,"매년 1월 1일, 매주 월요일",10:00,17:00,10:00,17:00,1,N,N,N,N,055-570-2513,경상남도 의령군 의령읍 충익로 1-25,경상남도 의령군 의령읍 중동리 482,의령군청(관광진흥담당),×,35.314793,128.258767,2019-07-05,5390000,경상남도 의령군
문화해설사의집(이병철생가),경남 의령군 정곡면 호암길 22-4,경상남도,의령군,이병철 일대기 등에 대한 문화관광해설사의 해설을 청취할 수 있음.,×,매주 월요일,10:00,17:00,10:00,17:00,1,N,N,N,N,055-570-2513,경상남도 의령군 정곡면 호암길 22-4,경상남도 의령군 정곡면 중교리 723,의령군청(관광진흥담당),×,35.382104,128.323238,2019-07-05,5390000,경상남도 의령군
문화해설사의집(곽재우생가),경남 의령군 유곡면 세간2동길 33,경상남도,의령군,홍의장군 곽재우 장군에 대한 문화관광해설사의 해설을 청취할 수 있음.,×,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,N,055-570-2513,경상남도 의령군 유곡면 세간2동길 33,경상남도 의령군 유곡면 세간리 817,의령군청(관광진흥담당),×,35.439533,128.343779,2019-07-05,5390000,경상남도 의령군
문화해설사의집(일붕사),경남 의령군 궁류면 청정로 1202-15,경상남도,의령군,봉황대 및 세계최대 동굴 법당인 일붕사에 대한 문화관광해설사의 해설을 청취할 수 있음.,×,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,N,055-570-2513,경상남도 의령군 궁류면 청정로 1202-15,경상남도 의령군 궁류면 평촌리 175-1,의령군청(관광진흥담당),×,35.435793,128.239634,2019-07-05,5390000,경상남도 의령군
문화해설사의집(정암루),경남 의령군 의령읍 남강로687,경상남도,의령군,정암루와 의병광장에 대한 문화관광해설사의 해설을 청취할 수 있음.,×,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,N,055-570-2513,경상남도 의령군 의령읍 남강로687,경상남도 의령군 의령읍 정암리 산2-5,의령군청(관광진흥담당),×,35.314031,128.294108,2019-07-05,5390000,경상남도 의령군
안성시 관광안내소,안성종합버스터미널 내 1층,경기도,안성시,"관광지, 교통, 숙박, 음식, 축제, 행사 등에 대한 관광정보 제공","휴대폰충전, 인터넷 이용, 팩스·복사 이용","일~월, 공휴일",9:00,17:00,9:00,17:00,1,N,N,N,,031-677-1330,경기도 안성시 비봉로 85,경기도 안성시 가사동 182번지,경기도 안성시청,http://www.anseong.go.kr/tour,37.01221084,127.2936396,2019-09-24,4080000,경기도 안성시
원주시 관광안내소,간현관광지 (임시운영)  ----- 삭제,강원도,원주시,원주시 관광과 관련된 정보 및 팜플렛 등을 제공합니다.,,연중무휴,9:00,18:00,9:00,18:00,,N,Y,Y,,033-733-1330,강원도 원주시 평원로 158,강원도 원주시 학성동 357,강원도 원주시청,https://tourism.wonju.go.kr,37.3566981,127.9457322,2019-05-27,4190000,강원도 원주시
구미역관광안내소,구미역광장,경상북도,구미시,구미시의 관광정보를 제공합니다.,,없음,10:00,17:00,10:00,17:00,1,N,N,N,N,054-000-0000,,경상북도 구미시 원평동 123-45,경상북도 구미시,,36.1288532,128.3304247,2019-06-30,5080000,경상북도 구미시
아라 종합안내센터,아라뱃길 홍보관 아라리움 1층,인천광역시,계양구,,,연중무휴,9:00,18:00,9:00,18:00,,N,N,Y,,1899-3650,인천광역시 서구 정서진1로 41 아라뱃길 통합운영센터,,경인아라뱃길 사업본부,http://www.giwaterway.kr/,37.6392316,126.7257619,2019-07-24,3550000,인천광역시 계양구
진주성관광안내소,진주성공북문,경상남도,진주시,진주관광홍보 및 안내,시정홍보,명절당일 1일,10:00,17:00,10:00,17:00,3,Y,Y,N,,055-749-7449,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,경상남도 진주시청,,35.19043229,128.0802214,2019-10-30,5310000,경상남도 진주시
진주역관광안내소,진주역내,경상남도,진주시,진주관광홍보 및 안내,시정홍보,명절당일 1일,10:00,17:00,10:00,17:00,1,Y,N,N,,070-4916-1489,경상남도 진주시 진주역로 130,경상남도 진주시 가좌동 68-10,경상남도 진주시청,,35.15115108,128.1182333,2019-10-30,5310000,경상남도 진주시
다누리센터안내소,충청북도 단양군 단양읍 수변로 111,충청북도,단양군,다누리센터안내소,"휠체어, 유모차 등",매주 월요일,9:00,18:00,9:00,18:00,1,Y,Y,N,"영어, 일본어",043-423-4235,충청북도 단양군 단양읍 수변로 111,충청북도 단양군 단양읍 별곡리 569-1,충청북도 단양군청,https://www.danuri.go.kr/aqua/,36.98541224,128.3707534,2019-09-23,4480000,충청북도 단양군
도담삼봉안내소,충청북도 단양군 단양읍 삼봉로 644-13,충청북도,단양군,도담삼봉안내소,,연중무휴,10:00,17:00,10:00,17:00,2,N,N,N,없음,043-422-3037,충청북도 단양군 매포읍 삼봉로 644-13,충청북도 단양군 매포읍 하괴리 84-1,충청북도 단양군청,,37.0007642,128.341835,2019-09-23,4480000,충청북도 단양군
단양안내소,충청북도 단양군 단양읍 다리안로 43,충청북도,단양군,단양안내소,,연중무휴,9:00,18:00,9:00,18:00,2,Y,N,N,영어,043-420-3035,충청북도 단양군 단양읍 다리안로 43,충청북도 단양군 단양읍 고수리 136-1,충청북도 단양군청,https://www.danyang.go.kr/dy21/,36.98648783,128.3759049,2019-09-23,4480000,충청북도 단양군
정선군종합관광안내소,정선5일장 위치,강원도,정선군,정선5일장 위주의 방문관광객 안내,포털사이트 Q&A 등록 문화관광해설 콜센터 통신안내,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,1544-9053,강원도 정선군 정선읍 정선로 1357-1,강원도 정선군 정선읍 봉양리 351-1,강원도 정선군청,,37.3926484,128.6250864,2019-06-30,4290000,강원도 정선군
통도사 관광안내소,양산시 하북면 통도사 내,경상남도,양산시,통도사내 위치한 양산시 종합관광안내소,유모차+휠체어대여+수하물 보관,"설날, 추석, 연휴",9:00,18:00,9:00,18:00,2,Y,Y,Y,영어+일본어+중국어,055-382-4112,,경상남도 양산시 하북면 지산리 583,양산시,http://tour.yangsan.go.kr,35.49853568,129.0509514,2019-06-26,5380000,경상남도 양산시
내원사 관광안내소,양산시 하북면 내원사 내,경상남도,양산시,내원사내 위치한 양산시 종합관광안내소,수하물 보관,"설날, 추석, 연휴",9:00,18:00,9:00,18:00,2,N,N,N,해당없음,055-374-5211,경상남도 양산시 하북면 내원로 207,경상남도 양산시 하북면 용연리 291,양산시,http://tour.yangsan.go.kr,35.44578267,129.1104527,2019-06-26,5380000,경상남도 양산시
원동역 관광안내소,양산시 원동면 원동역 내,경상남도,양산시,원동역내 위치한 양산시 관광안내소,해당없음,"설날, 추석, 연휴",10:00,14:00,10:00,16:00,1,N,N,N,해당없음,055-392-3234,경상남도 양산시 원동면 원동마을길 13,경상남도 양산시 원동면 원리 1154-1,양산시,http://tour.yangsan.go.kr,35.3627559,128.9207842,2019-06-26,5380000,경상남도 양산시
울산역 관광안내소,울산광역시 울주군 울산역 내,경상남도,양산시,울산역내 위치한 양산시 관광안내소,휴대폰 충전,"설날, 추석, 연휴",9:00,18:00,9:00,18:00,1,N,N,N,해당없음,055-392-3234,울산광역시 울주군 삼남면 울산역로 177,울산광역시 울주군 삼남면 신화리 88,양산시,-,35.55150043,129.1386342,2019-06-26,5380000,경상남도 양산시
천안역관광안내소,천안역동부광장,충청남도,천안시,천안시 교통 및 관광 등 안내,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,041-521-2038,충청남도 천안시 동남구 대흥동 237,충청남도 천안시 동남구 대흥동 57-72,충청남도 천안시청,cheonan.go.kr,36.80986139,127.1475053,2019-06-17,4490000,충청남도 천안시
천안종합터미널관광안내소,신세계백화점앞,충청남도,천안시,천안시 교통 및 관광 등 안내,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,041-569-0041,충청남도 천안시 동남구 만남로 43,충청남도 천안시 동남구 신부동 356-6,충청남도 천안시청,cheonan.go.kr,36.81959489,127.1554333,2019-06-17,4490000,충청남도 천안시
천안아산역관광안내소,천안아산역사내2F매표소 맞은편,충청남도,천안시,천안시 교통 및 관광 등 안내,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,041-521-2050,충청남도 아산시 배방읍 희망로 100,충청남도 아산시 배방읍 장재리 305,충청남도 천안시청,cheonan.go.kr,36.79452762,127.1044519,2019-06-17,4490000,충청남도 천안시
연천군 관광안내소,연천전곡리유적 정문,경기도,연천군,"""전곡리 유적 해설, 연천군 내 관광지 안내 등 종합안내소""","""휠체어, 유모차대여""",공휴일,9:00,17:00,9:00,17:00,1,N,N,N,,031-839-2205,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 515,경기도 연천군청,http://tour.iyc21.net,38.0141103,127.0572224,2018-09-10,4140000,경기도 연천군
대구역 관광안내소,대구역 광장,대구광역시,북구,대구의 관문인 대구역 광장에 위치해 있으며 대구를 찾는 내외국인에게 대구의 관광안내 및 관광정보를 제공,,연중무휴,9:00,18:00,9:00,17:00,2,Y,Y,N,,053-660-1432,대구광역시 북구 태평로 161,대구광역시 북구 칠성동2가 302-155 (롯데백화점 대구역),대구광역시청,,35.8758942,128.5961298,2019-11-13,3450000,대구광역시 북구
엑스코 관광안내소,엑스코 전시장 1층,대구광역시,북구,엑스코의 각종 행사에 참석하는 내외국인에게 대구의 관광안내 및 관광정보를 제공,,연중무휴,9:00,18:00,9:00,18:00,,Y,N,Y,,053-601-5237,대구광역시 북구 엑스코로 10,대구광역시 북구 산격동 1676 (대구전시컨벤션센터),문화체육관광부,,35.9070695,128.6130836,2019-11-13,3450000,대구광역시 북구
대구구암동고분군 팔거산성 탐방안내소,운암지수변공원 內,대구광역시,북구,구암동고분군º팔거산성에 대한 역사적 가치와 정보를 문화유산탐방해설사를 통하여 제공,,"설.추석명절, 매주월요일",10:00,17:00,10:00,17:00,1,N,N,N,,053-325-2344,,대구광역시 북구 구암동 387,대구광역시 북구청,,35.931829,128.567463,2019-11-13,3450000,대구광역시 북구
여주시 종합관광안내소,신륵사관광단지 앞,경기도,여주시,관광객 안내와 외국인(영어)통역 안내,휴대폰충전,"1월1일,추석당일,설날당일",9:00,18:00,9:00,18:00,2,Y,Y,Y,,031-887-2868,경기도 여주시 신륵사길 7,경기도 여주시 천송동 541-15,경기도여주시청,,37.30014172,127.6545493,2019-10-22,5700000,경기도 여주시
여주역 관광안내소,여주역,경기도,여주시,관광객 안내,휴대폰충전,"1월1일,추석당일,설날당일",9:00,18:00,9:00,18:00,2,N,N,N,,031-887-2990,경기도 여주시 교동로 80,경기도 여주시 교동 403-1,경기도여주시청,,37.28248398,127.6286692,2019-10-22,5700000,경기도 여주시
세종대왕릉역 관광안내소,세종대왕릉역,경기도,여주시,관광객 안내,휴대폰충전,"1월1일,추석당일,설날당일",9:00,18:00,9:00,18:00,2,N,N,N,,070-8810-2990,경기도 여주시 능서면 양화로 877,경기도 여주시 능서면 신지리 275,경기도여주시청,,37.29393905,127.5707293,2019-10-22,5700000,경기도 여주시
대부도 관광안내소,방아머리주차장,경기도,안산시,,,"설날,추석",10:00,17:00,10:00,17:00,2,,,,,1899-1720,경기도 안산시 단원구 대부황금로 1531,"경기도 안산시 단원구 대부북동 1985, (대부도 관광안내소)",안산시,,37.28989213,126.5779451,2019-08-20,3930000,경기도 안산시
안산역관광안내소,안산역앞 광장,경기도,안산시,,,"설날,추석",10:00,17:00,10:00,17:00,2,,,,,070-4740-2580,,경기도 안산시 단원구 원곡동 993-7,안산시,,37.32579082,126.793703,2019-08-20,3930000,경기도 안산시
버스터미널 관광안내소,버스터미널 택시승강장 앞,광주광역시,서구,교통관문거점,관광정보 안내,연중무휴,9:00,18:00,9:00,18:00,3,Y,Y,Y,러시아어,062-365-8733,광주광역시 서구 무진대로 904(광천동),,광주시관광협회,,35.16057492,126.879872,2019-06-26,6290000,광주광역시
광주역 관광안내소,광주역내 입구,광주광역시,북구,교통관문거점,관광정보 안내,연중무휴,9:00,18:00,9:00,18:00,2,Y,Y,Y,러시아어,062-233-9370,광주광역시 북구 무등로 235,,광주시관광협회,,35.166574,126.908722,2019-06-26,6290000,광주광역시
